 11.06        0        0        0        0    16.45        0        0    19.12        0 
   21.43        0        0        0        0        0        0        0     0.29        0 
       0        0        0        0        0        0        0        0    39.45        0 
       0        0        0        0    45.22        0        0        0        0        0 
       0        0        0    54.12        0        0        0        0        0        0 
       0        0        0        0        0        0        0        0    69.67        0 
       0        0        0        0        0        0        0        0        0        0 
   81.13        0        0        0        0        0        0        0        0        0 
       0        0        0        0        0        0        0        0        0        0 
       0        0        0        0        0        0        0        0        0        0 
